"","x"
"539",3158
"540",51474
"541",3925
"542",29919
"543",740
"544",7264
"545",3569
"546",4436
"547",6398
"548",55119
"549",9103
"550",85453
"551",90634
"552",51004
"553",4128
"554",6840
"555",23683
"556",10209
"557",3856
"558",56647
"559",376267
"560",5062
"561",79919
"562",56652
"563",54665
"564",91
"565",5295
"566",27300
"567",3837
"568",8460
"569",368
"570",9517
"571",23076
"572",64863
"573",9702
"574",6277
"575",5270
"576",6988
"577",2619
"578",339479
"579",9957
"580",2066
"581",23443
"582",5650
"583",2769
"584",64781
"585",965
"586",56950
"587",1955
"588",55890
"589",55968
"590",10451
"591",9473
"592",9453
"593",11097
"594",23368
"595",23062
"596",79679
"597",996
"598",55568
"599",64921
"600",10403
"601",55228
"602",29978
"603",8795
"604",23347
"605",3212
"606",10007
"607",991
"608",7844
"609",79717
"610",3298
"611",140461
"612",64798
"613",3300
"614",56983
"615",8848
"616",5329
"617",55012
"618",9045
"619",54972
"620",1535
"621",79143
"622",1054
"623",400
"624",81849
"625",2064
"626",374354
"627",27445
"628",10404
"629",54780
"630",2919
"631",9945
"632",23516
"633",7775
"634",2104
"635",27242
"636",196
"637",942
"638",4926
"639",10409
"640",10298
"641",18
"642",54494
"643",84722
"644",9073
"645",1612
"646",1047
"647",2644
"648",54472
"649",4023
"650",51634
"651",2073
"652",2705
"653",7545
"654",7850
"655",9928
"656",23078
"657",9654
"658",4360
"659",26235
"660",8886
"661",53826
"662",596
"663",4688
"664",661
"665",10845
"666",55751
"667",857
"668",55573
"669",54970
"670",140465
"671",8451
"672",7466
"673",23200
"674",23522
"675",23560
"676",79625
"677",5170
"678",10049
"679",10160
"680",3148
"681",11266
"682",6309
"683",50856
"684",23312
"685",25937
"686",23097
"687",682
"688",226
"689",6834
"690",1191
"691",4646
"692",79572
"693",1445
"694",22876
"695",9751
"696",10564
"697",474344
"698",205
"699",10863
"700",6447
"701",8324
"702",9107
"703",51029
"704",3417
"705",79892
"706",10360
"707",1602
"708",271
"709",63926
"710",9447
"711",29095
"712",79874
"713",25913
"714",4927
"715",1515
"716",9550
"717",114548
"718",23229
"719",6821
"720",79782
"721",1849
"722",51018
"723",57730
"724",9491
"725",4837
"726",11120
"727",55973
"728",79818
"729",79794
"730",10057
"731",3428
"732",56912
"733",1880
"734",79017
"735",321
"736",1783
"737",7846
"738",54704
"739",6093
"740",3382
"741",64062
"742",987
"743",51734
"744",7718
"745",9015
"746",23491
"747",898
"748",5373
"749",50628
"750",3691
"751",7088
"752",83439
"753",526
"754",27163
"755",8821
"756",6934
"757",22856
"758",51501
"759",24147
"760",8895
"761",8473
"762",55224
"763",4664
"764",56925
"765",7511
"766",9650
"767",2525
"768",59348
"769",58473
"770",2778
"771",60481
"772",10813
"773",6422
"774",23066
"775",55003
"776",3783
"777",5980
"778",10363
"779",1508
"780",23170
"781",79609
"782",5552
"783",7503
"784",9419
"785",2879
"786",79720
"787",10921
"788",4316
"789",9846
"790",51063
"791",6646
"792",57228
"793",6322
"794",3059
"795",11314
"796",11340
"797",26953
"798",79071
"799",2219
"800",6491
"801",8648
"802",5965
"803",93210
"804",29097
"805",11067
"806",26271
"807",55689
"808",9778
"809",64284
"810",3486
"811",4172
"812",6868
"813",2098
"814",29957
"815",55081
"816",2625
"817",10273
"818",9144
"819",10098
"820",5360
"821",54478
"822",7171
"823",9728
"824",22850
"825",9466
"826",9500
"827",65005
"828",949
"829",81875
"830",81929
"831",9448
"832",26065
"833",6609
"834",23682
"835",100289410
"836",1644
"837",27301
"838",7322
"839",5955
"840",64429
"841",25847
"842",55711
"843",9440
"844",1164
"845",5325
"846",5420
"847",23705
"848",9816
"849",11068
"850",22889
"851",118987
"852",56984
"853",22824
"854",23467
"855",26999
"856",9270
"857",2882
"858",2202
"859",57613
"860",79630
"861",8445
"862",23210
"863",7922
"864",8880
"865",4216
"866",8458
"867",23301
"868",81493
"869",10964
"870",4864
"871",7378
"872",53832
"873",6741
"874",6718
"875",2330
"876",3066
"877",7076
"878",6251
"879",6239
"880",9200
"881",27074
"882",79789
"883",57820
"884",51020
"885",64092
"886",10443
"887",9235
"888",6820
"889",59272
"890",6273
"891",7514
"892",9209
"893",4835
"894",23358
"895",1848
"896",57088
"897",51309
"898",26130
"899",55016
"900",7991
"901",9777
"902",719
"903",2162
"904",80127
"905",3852
"906",57819
"907",9921
"908",1051
"909",26007
"910",6414
"911",9208
"912",182
"913",5774
"914",10772
"915",10972
"916",79639
"917",79170
"918",961
"919",22903
"920",57018
"921",7305
"922",9913
"923",54517
"924",1316
"925",339448
"926",54853
"927",1211
"928",9114
"929",55127
"930",10541
"931",9129
"932",2166
"933",10010
"934",10053
"935",23037
"936",51
"937",708
"938",199
"939",10103
"940",8798
"941",23272
"942",3482
"943",9781
"944",6881
"945",55223
"946",23404
"947",53340
"948",8455
"949",6576
"950",11343
"951",51075
"952",6385
"953",11039
"954",23531
"955",864
"956",9510
"957",688
"958",10548
"959",388
"960",6009
"961",7644
"962",290
"963",3646
"964",5447
"965",10507
"966",7879
"967",5092
"968",5076
"969",23601
"970",5007
"971",10265
"972",54869
"973",8658
"974",9397
"975",56998
"976",1182
"977",11342
"978",51188
"979",10961
"980",30850
"981",1520
"982",55841
"983",54103
"984",29099
"985",51278
"986",3622
"987",23512
"988",3606
"989",51619
"990",246243
"991",6301
"992",10590
"993",4174
"994",4794
"995",79814
"996",24149
"997",3669
"998",56683
"999",3068
"1000",6160
"1001",2199
"1002",22797
"1003",9972
"1004",54503
"1005",9589
"1006",10087
"1007",5571
"1008",5099
"1009",1836
"1010",8872
"1011",4712
"1012",9787
"1013",3659
"1014",5791
"1015",9895
"1016",23594
"1017",4247
"1018",91860
"1019",11065
"1020",23131
"1021",7769
"1022",54187
"1023",4600
"1024",55388
"1025",22881
"1026",6507
"1027",7083
"1028",8733
"1029",25979
"1030",23043
"1031",204851
"1032",6584
"1033",9512
"1034",60485
"1035",2908
"1036",4154
"1037",10949
"1038",3263
"1039",25939
"1040",23369
"1041",3156
"1042",23321
"1043",2114
"1044",9141
"1045",51182
"1046",1964
"1047",23193
"1048",79084
"1049",11138
"1050",166647
"1051",1397
"1052",5167
"1053",3855
"1054",79683
"1055",10389
"1056",9532
"1057",4783
"1058",79443
"1059",10960
"1060",327
"1061",7464
"1062",84364
"1063",29926
"1064",80055
"1065",50810
"1066",1040
"1067",11034
"1068",26586
"1069",1087
"1070",5873
"1071",64236
"1072",3480
"1073",64581
"1074",11142
"1075",64750
"1076",55720
"1077",5106
"1078",8195
"1079",54504
"1080",25901
"1081",57122
"1082",375035
"1083",19
"1084",8853
"1085",10462
"1086",1361
"1087",2041
"1088",29098
"1089",10153
"1090",5740
"1091",23530
"1092",2526
"1093",55696
"1094",11160
"1095",23141
"1096",5203
"1097",5290
"1098",4856
"1099",64132
"1100",7020
"1101",7884
"1102",27076
"1103",4038
"1104",64780
"1105",7555
"1106",64108
"1107",6218
"1108",10875
"1109",6502
"1110",51691
"1111",8519
"1112",4781
"1113",115207
"1114",23478
"1115",9425
"1116",6885
"1117",55958
"1118",2886
"1119",2593
"1120",2618
"1121",1810
"1122",730101
"1123",64755
"1124",79600
"1125",552889
"1126",5931
"1127",55425
"1128",55007
"1129",79959
"1130",728558
"1131",493
"1132",9535
"1133",9319
"1134",58190
"1135",4249
"1136",7805
"1137",9943
"1138",81553
"1139",5627
"1140",1312
"1141",2288
"1142",2013
"1143",28231
"1144",285203
"1145",3383
"1146",175
"1147",7033
"1148",34
"1149",4486
"1150",23429
"1151",25840
"1152",4059
"1153",8027
"1154",9373
"1155",9562
"1156",4818
"1157",51614
"1158",3516
"1159",79654
"1160",4330
"1161",9055
"1162",23469
"1163",23527
"1164",6850
"1165",23657
"1166",51696
"1167",6376
"1168",22822
"1169",5376
"1170",10736
"1171",1825
"1172",2535
"1173",84869
"1174",4065
"1175",10625
"1176",6780
"1177",27243
"1178",79986
"1179",6944
"1180",79611
"1181",23641
"1182",54795
"1183",9917
"1184",27134
"1185",56889
"1186",25837
"1187",1102
"1188",10616
"1189",80258
"1190",84986
"1191",3620
"1192",11329
"1193",1948
"1194",7456
"1195",5412
"1196",10124
"1197",84223
"1198",204
"1199",3938
"1200",26470
"1201",8991
"1202",26973
"1203",1155
"1204",9212
"1205",6419
"1206",80736
"1207",55608
"1208",23654
"1209",3178
"1210",5863
"1211",3612
"1212",84525
"1213",26031
"1214",80213
"1215",1660
"1216",1690
"1217",89927
"1218",8645
"1219",9519
"1220",7704
"1221",56997
"1222",9415
"1223",9371
"1224",7366
"1225",79073
